date,iso_code,location,continent,population,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,total_deaths_per_million
2020-02-25,ALB,Albania,Europe,2854710.0,,,
2020-02-26,ALB,Albania,Europe,2854710.0,,,
2020-02-27,ALB,Albania,Europe,2854710.0,,,
2020-02-28,ALB,Albania,Europe,2854710.0,,,
2020-02-29,ALB,Albania,Europe,2854710.0,,,
2020-03-01,ALB,Albania,Europe,2854710.0,,,
2020-03-02,ALB,Albania,Europe,2854710.0,,,
2020-03-03,ALB,Albania,Europe,2854710.0,,,
2020-03-04,ALB,Albania,Europe,2854710.0,,,
2020-03-05,ALB,Albania,Europe,2854710.0,,,
2020-03-06,ALB,Albania,Europe,2854710.0,,,
2020-03-07,ALB,Albania,Europe,2854710.0,,,
2020-03-08,ALB,Albania,Europe,2854710.0,,,
2020-03-09,ALB,Albania,Europe,2854710.0,,,
2020-03-10,ALB,Albania,Europe,2854710.0,,,
2020-03-11,ALB,Albania,Europe,2854710.0,,,0.35
2020-03-12,ALB,Albania,Europe,2854710.0,,,0.35
2020-03-13,ALB,Albania,Europe,2854710.0,,,0.35
2020-03-14,ALB,Albania,Europe,2854710.0,1.902,,0.35
2020-03-15,ALB,Albania,Europe,2854710.0,2.102,,0.35
2020-03-16,ALB,Albania,Europe,2854710.0,2.452,0.05,0.35
2020-03-17,ALB,Albania,Europe,2854710.0,2.252,0.05,0.35
2020-03-18,ALB,Albania,Europe,2854710.0,2.352,0.05,0.701
2020-03-19,ALB,Albania,Europe,2854710.0,2.052,0.05,0.701
2020-03-20,ALB,Albania,Europe,2854710.0,1.852,0.05,0.701
2020-03-21,ALB,Albania,Europe,2854710.0,1.902,0.05,0.701
2020-03-22,ALB,Albania,Europe,2854710.0,2.352,0.05,0.701
2020-03-23,ALB,Albania,Europe,2854710.0,2.652,0.15,1.401
2020-03-24,ALB,Albania,Europe,2854710.0,3.403,0.2,1.751
2020-03-25,ALB,Albania,Europe,2854710.0,4.354,0.15,1.751
