fecha,sev,esp
2020-01-01,193652,3253853
2020-02-01,193469,3246047
2020-03-01,225282,3548312
2020-04-01,230457,3831203
2020-05-01,226492,3857776
2020-06-01,228446,3862883
2020-07-01,224235,3773034
2020-08-01,226253,3802814
2020-09-01,219218,3776485
2020-10-01,221368,3826043
2020-11-01,222544,3851312
2020-12-01,225856,3888137
2021-01-01,230652,3964353
2021-02-01,232847,4008789
2021-03-01,228989,3949640
2021-04-01,227951,3910628
2021-05-01,221867,3781250
2021-06-01,210661,3614339
2021-07-01,196944,3416498
2021-08-01,191387,3333915
2021-09-01,187740,3257802
2021-10-01,189628,3257068
2021-11-01,186127,3182687
2021-12-01,185304,3105905
2022-01-01,189779,3123078
2022-02-01,190223,3111684
2022-03-01,191422,3108763
2022-04-01,183355,3022503
2022-05-01,179398,2922991
2022-06-01,182398,2880582
2022-07-01,183754,2883812
2022-08-01,186940,2924240
2022-09-01,184091,2941919
2022-10-01,180769,2914892
2022-11-01,177288,2881380
2022-12-01,172814,2837653
2023-01-01,178133,2908397
2023-02-01,177769,2911015
2023-03-01,173716,2862260
2023-04-01,168635,2788370
2023-05-01,169682,2739110
2023-06-01,169140,2688842
2023-07-01,169422,2677874
2023-08-01,170769,2702700
2023-09-01,171915,2722468
